model,n_features,auc,auprc,sensitivity,specificity,f1,fnr,brier,ece_10bin,calibration_slope,calibration_intercept,auc_ci_low,auc_ci_high,auprc_ci_low,auprc_ci_high,fnr_ci_low,fnr_ci_high,brier_ci_low,brier_ci_high,ece_10bin_ci_low,ece_10bin_ci_high
baseline_67,67,0.8513678466288503,0.8453416954018275,0.7939972714870396,0.7467994310099573,0.7796383121232419,0.20600272851296045,0.15782830913496051,0.03136225822567585,1.195414610607311,-0.0007542892447962291,0.8321727425809223,0.8717753139264658,0.8173722648593261,0.8714845309824413,0.17717772060833964,0.23647618779130955,0.14792919320815842,0.16726848601489655,0.02969718031709875,0.05963457307515822
no_supplements,47,0.8475001892105359,0.8429947618298537,0.7939972714870396,0.7439544807965861,0.7785953177257525,0.20600272851296045,0.15965499844681647,0.035153491570382306,1.1678954296859907,-0.0008050220631191317,0.8276489099504942,0.8672751120416253,0.8155993898579402,0.8693238185199039,0.17513083858236753,0.235878786301655,0.14990575863627234,0.16933438762158773,0.03023739369859827,0.060188924580488135
no_detailed_diet,49,0.8487790583719356,0.842237626966008,0.7939972714870396,0.7425320056899004,0.7780748663101603,0.20600272851296045,0.1592237557722369,0.033939935424514144,1.1790431335835687,0.015856268483097295,0.8285772676672358,0.8694150697515435,0.8145655653678135,0.8666855926959585,0.17413805235012667,0.23291210766938922,0.14912879920516123,0.16891171417938372,0.03294667536033468,0.06181457890764232
clinical_screen_no_diet_supp,29,0.8437179191110404,0.8386665039001079,0.781718963165075,0.7382645803698435,0.7691275167785235,0.21828103683492497,0.16132814967925757,0.03903830038450322,1.1368288686757573,0.022665544249000795,0.8235718661403442,0.8648420234556947,0.8107791112250495,0.8637495042753223,0.185054575242202,0.2461397052100287,0.15078773912159069,0.1708855624764172,0.029129682087501184,0.062043301387958806
clinical_screen_no_bp,27,0.8447076357609853,0.8383427651303325,0.7858117326057299,0.7396870554765291,0.772117962466488,0.21418826739427013,0.16076273093928642,0.037244015100564756,1.1356961469734612,0.02637235735137245,0.824514087451112,0.8656263749415489,0.8106026426403885,0.8633988388193156,0.18382865432315848,0.23876503399505633,0.15035477068561864,0.1702796208000864,0.029021013093133242,0.061228471493267406
clinical_screen_no_race,28,0.8423517220099399,0.8390823547187442,0.7830832196452933,0.7396870554765291,0.7704697986577183,0.21691678035470668,0.16230797627236596,0.03627620251470389,1.151864597404678,0.02044870999430688,0.823076795951627,0.8632846609276669,0.8103705422855785,0.8639504503681842,0.18508170734340476,0.24586830641733956,0.15221110158391876,0.1716665091245533,0.028623821386096926,0.06208165915668153
clinical_screen_no_weight_history,28,0.8449308071624434,0.8394185670969897,0.7899045020463847,0.7382645803698435,0.7740641711229946,0.2100954979536153,0.1608724216860677,0.03564544218928383,1.1473062481596497,0.014346842327106651,0.8251744336190757,0.8653672776219419,0.810647114604875,0.8640993374773164,0.1798860732184938,0.23859893140839744,0.15072740328886877,0.1704131226659093,0.02794574258419123,0.062032088068950955
clinical_screen_no_alcohol,27,0.8415677111735129,0.8359411578108386,0.781718963165075,0.7354196301564723,0.7680965147453083,0.21828103683492497,0.16263449816974906,0.035147957691638164,1.1248923463532245,0.024335098401897962,0.8206240331266413,0.8625328328914152,0.8065275921389594,0.8623569477927594,0.18602839029072263,0.2501973730175365,0.15243683732472202,0.17241201741655096,0.02660229945297275,0.057914749502396154
clinical_screen_no_activity_sleep_mood,21,0.8441933712271905,0.8385570403373372,0.7844474761255116,0.7411095305832148,0.7718120805369127,0.2155525238744884,0.16133972498874186,0.029971624480705044,1.1325278584415668,0.020274194156287298,0.8240458562054712,0.8649344773633565,0.8098224589534675,0.8641215094023744,0.18314864231461656,0.2450730590287874,0.15103041462745004,0.1710435889916612,0.02642285810907768,0.05628317827896753
low_burden_screen_optional_bp,18,0.8456954117900481,0.8409742087599671,0.7939972714870396,0.7382645803698435,0.7765176784523016,0.20600272851296045,0.16062667726450128,0.02976547541079577,1.1593226699217614,0.011855125167284404,0.8262639077587228,0.8671769351690283,0.8131770659380239,0.8654318690076638,0.174761611233683,0.23379485343665765,0.15019401488913312,0.17003868157002316,0.024566522333429503,0.055954536688503656
low_burden_screen_no_bp,16,0.8452296627783094,0.8396599358848504,0.7885402455661664,0.7425320056899004,0.774798927613941,0.21145975443383355,0.16071970419808454,0.03170671588038325,1.1439804512411522,0.025014976490357745,0.8264032778059512,0.8659035946982127,0.8103964748036546,0.8647160742771147,0.18161986905061697,0.23960910355665122,0.15044145430141537,0.17003998733830875,0.029521545355290165,0.058266692784517765
low_burden_no_race,17,0.8410515060188357,0.8386750451894106,0.7885402455661664,0.7240398293029872,0.7681063122923589,0.21145975443383355,0.1630462224079027,0.03764554894393109,1.1417156165402633,0.012992053134794332,0.8215407477281876,0.8626512848439147,0.8088892750834223,0.8649012470476759,0.17885953649957922,0.24237673815879318,0.15251002296570695,0.17255714433960823,0.031130435940355652,0.06277931958105988
low_burden_no_alcohol,17,0.8434404103248794,0.8402030608186559,0.7899045020463847,0.7368421052631579,0.7735470941883769,0.2100954979536153,0.1616506202182152,0.02780902426138506,1.1496679789494657,0.010352897893240816,0.8240089769499032,0.8645626669737692,0.8113597819244049,0.8645032119712622,0.17642963020752067,0.2400704909148388,0.15099551895273952,0.17085645589349352,0.02395995441162318,0.05406282820396084
