model,group,subgroup,n,prevalence,auc,auprc,sensitivity,specificity,f1,fnr,brier,ece_10bin,calibration_slope,calibration_intercept
baseline_67,sex,Male,670,0.5238805970149254,0.8549241307861997,0.86130672291907,0.7777777777777778,0.7648902821316614,0.7811158798283261,0.2222222222222222,0.15566307925392625,0.04155811837720752,1.1915212036631961,0.08814581249845094
baseline_67,sex,Female,766,0.49869451697127937,0.8489856020942408,0.8334444488082636,0.8089005235602095,0.7317708333333334,0.7783375314861463,0.19109947643979058,0.15972217861314975,0.037995729340905185,1.2037575230762378,-0.07713593347274217
baseline_67,race,Hispanic,301,0.6079734219269103,0.8166620357506715,0.8583761291405849,0.819672131147541,0.652542372881356,0.8021390374331551,0.18032786885245902,0.16742056755272386,0.08002591584413885,1.0881296552701771,0.11656248420354648
baseline_67,race,NH White,655,0.46412213740458014,0.8684397960713751,0.8487152173422815,0.8092105263157895,0.7606837606837606,0.7760252365930599,0.19078947368421054,0.149942857187431,0.04925113316023886,1.3282213760876607,-0.19627985146383709
baseline_67,race,NH Black,273,0.5311355311355311,0.8757004310344827,0.869777198407723,0.8206896551724138,0.734375,0.7986577181208053,0.1793103448275862,0.14650784769669875,0.08618218621260748,1.2587191575680967,0.041416494979500076
baseline_67,race,Other,207,0.48792270531400966,0.8028208481225481,0.7951135841899375,0.6633663366336634,0.8207547169811321,0.7165775401069518,0.33663366336633666,0.1837615807027408,0.08129552123632874,0.989461129782955,0.28358974635217493
baseline_67,age,18-39,428,0.4462616822429907,0.8713411535997527,0.8523047731180415,0.7801047120418848,0.8354430379746836,0.7862796833773087,0.2198952879581152,0.1422664589218043,0.043029505520971,1.1581333467087875,-0.06834412822087194
baseline_67,age,40-59,441,0.5215419501133787,0.8674634246857613,0.885635752268683,0.8217391304347826,0.7156398104265402,0.7891440501043842,0.1782608695652174,0.1509837800948125,0.043778738718997984,1.3261330157666908,-0.019616567760161244
baseline_67,age,60+,567,0.5502645502645502,0.8129210658622423,0.8045602516822328,0.782051282051282,0.6901960784313725,0.768503937007874,0.21794871794871795,0.17489869572744046,0.04754530647444223,1.1222680362542448,0.050566169292526005
low_burden_screen_optional_bp,sex,Male,670,0.5238805970149254,0.8474935026659164,0.8536216881550625,0.7806267806267806,0.7586206896551724,0.7806267806267806,0.21937321937321938,0.15933655286944473,0.04016960871869711,1.1530774126355559,0.08151613232959312
low_burden_screen_optional_bp,sex,Female,766,0.49869451697127937,0.8445135253054102,0.8317479021864255,0.806282722513089,0.7213541666666666,0.7728983688833123,0.193717277486911,0.16175511505130005,0.055178530355219295,1.1673492975765987,-0.04846684258295927
low_burden_screen_optional_bp,race,Hispanic,301,0.6079734219269103,0.808187459479485,0.8523066601082667,0.8032786885245902,0.6440677966101694,0.7903225806451613,0.19672131147540983,0.1707372529246399,0.0543364943009433,1.0291027241240278,0.14562637289552116
low_burden_screen_optional_bp,race,NH White,655,0.46412213740458014,0.8623106912580597,0.84265404496992,0.7927631578947368,0.7407407407407407,0.7578616352201258,0.20723684210526316,0.15306227891028867,0.059286701742756485,1.3021138125048894,-0.1656658119122787
low_burden_screen_optional_bp,race,NH Black,273,0.5311355311355311,0.8698814655172412,0.8657022142463298,0.8413793103448276,0.75,0.8160535117056856,0.15862068965517243,0.14893067158007703,0.05849869751094006,1.214603060884954,0.04856912870395159
low_burden_screen_optional_bp,race,Other,207,0.48792270531400966,0.8011395479170558,0.7968307457668793,0.7128712871287128,0.8207547169811321,0.7499999999999999,0.2871287128712871,0.18528564924592808,0.09494930073117118,0.9438928590815391,0.2532674083579542
low_burden_screen_optional_bp,age,18-39,428,0.4462616822429907,0.8669008328362826,0.8447384918419693,0.7801047120418848,0.8227848101265823,0.7801047120418849,0.2198952879581152,0.14505070066235315,0.033114701454133935,1.1040314581492154,-0.03642735036990538
low_burden_screen_optional_bp,age,40-59,441,0.5215419501133787,0.8611992581908099,0.8788035715431624,0.8130434782608695,0.7061611374407583,0.7807933194154488,0.18695652173913044,0.15404542588869596,0.05242904986214326,1.27650067037428,-0.020862971146758995
low_burden_screen_optional_bp,age,60+,567,0.5502645502645502,0.80824534942182,0.8052843434028014,0.7884615384615384,0.6862745098039216,0.7711598746081504,0.21153846153846154,0.17750295564624652,0.05289226214649733,1.1156823307500006,0.055023914710157475
