Group,Subgroup,N,Prevalence,AUC,AUC_CI
age_group,18-39,428,0.446,0.8713,[0.8372-0.9066]
age_group,40-59,441,0.522,0.8675,[0.8326-0.8960]
age_group,60+,567,0.550,0.8129,[0.7805-0.8461]
sex,Male,670,0.524,0.8549,[0.8258-0.8848]
sex,Female,766,0.499,0.8490,[0.8210-0.8728]
race,NH White,655,0.464,0.8684,[0.8426-0.8946]
race,NH Black,273,0.531,0.8757,[0.8296-0.9149]
race,Hispanic,301,0.608,0.8167,[0.7667-0.8659]
race,Other,207,0.488,0.8028,[0.7461-0.8612]
bmi_group,Normal (<25),392,0.138,0.7359,[0.6582-0.8001]
bmi_group,Overweight (25-30),438,0.463,0.6992,[0.6523-0.7454]
bmi_group,Obese (≥30),606,0.785,0.7562,[0.7002-0.8009]
