Variable,Normal,Prediabetes,Diabetes
N,35311,11714,8078
Age,42.3 (18.4),56.9 (16.4),61.4 (13.5)
BMI,27.5 (6.2),30.4 (7.1),32.2 (7.4)
Waist Circumference,94.2 (15.0),102.5 (15.3),108.1 (15.6)
Systolic BP,121.3 (17.6),130.2 (19.5),133.7 (20.2)
Diastolic BP,70.7 (11.2),72.8 (12.1),71.1 (12.4)
Sleep Hours,7.1 (1.3),7.1 (1.4),7.1 (1.5)
Sedentary Time (min),349.0 (161.6),343.7 (177.9),357.0 (184.7)
PHQ-9 Score,3.1 (3.4),3.2 (3.8),4.0 (4.3)
Sex = 1,17384 (49.2%),5792 (49.4%),4176 (51.7%)
Sex = 2,17927 (50.8%),5922 (50.6%),3902 (48.3%)
Race/Ethnicity = 1,6347 (18.0%),1815 (15.5%),1632 (20.2%)
Race/Ethnicity = 2,2814 (8.0%),1059 (9.0%),765 (9.5%)
Race/Ethnicity = 3,16478 (46.7%),4408 (37.6%),2749 (34.0%)
Race/Ethnicity = 4,6443 (18.2%),3268 (27.9%),2145 (26.6%)
Race/Ethnicity = 5,3229 (9.1%),1164 (9.9%),787 (9.7%)
Smoking Status = 0,21195 (60.0%),6199 (52.9%),4065 (50.3%)
Smoking Status = 1,6974 (19.8%),3145 (26.8%),2691 (33.3%)
Smoking Status = 2,7142 (20.2%),2370 (20.2%),1322 (16.4%)
Family Diabetes Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
Family Diabetes Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
Family Diabetes Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
Family Diabetes Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
Family Diabetes Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
Family Diabetes Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
Family Diabetes Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
Family Diabetes Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
Family Diabetes Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
Family Diabetes Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
Family Diabetes Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
Family Diabetes Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
Family Diabetes Hx = 0,0 (0.0%),1 (0.0%),0 (0.0%)
Family Diabetes Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
Family Diabetes Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
Family Diabetes Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
Family Diabetes Hx = 0,1 (0.0%),0 (0.0%),0 (0.0%)
